INDIAN OVERSEAS BANK,6,"3RD FLOOR, AIRES COMPLEX,               ",44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
THE KARNATAKA BANK LIMITED,6,"ALKAPURI, VADODARA",44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
PUNJAB NATIONAL BANK,6,VADODARA,44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
STATE BANK OF INDIA,6,City: VADODARA,44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
BANK OF BARODA,6,State: GUJARAT,44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
IDBI BANK LTD.,6,Country: INDIA,44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
CENTRAL BANK OF INDIA,6,"Tel #: 02652331553,9426571518",44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
AXIS BANK LIMITED,6,Zip: 390007,44,319,VADODARA,110,390007,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
KOTAK MAHINDRA BANK LTD,6,Email ID: MOHAMMEDABDULHAI@IONNET.CO.IN,44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
HERO MOTO CORP LTD.,6,"SURYA KIRAN COMPLEX, OPROAD,            ",44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
GAIL INDIA LIMITED,6,VADODARA,44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
ABB INDIA LIMITED,6,City: VADODARA,44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
BLUE STAR LTD,6,State: GUJARAT,44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
GODREJ CONSUMER PRODUCTS LTD,6,Country: INDIA,44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
RELIANCE INDUSTRIES LIMITED,6,"Tel #: 02652321120,9879793089",44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
IPCA LABORATORIES LIMITED,6,Zip: 390020,44,319,VADODARA,110,390020,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
ULTRATECH CEMENT LIMITED,6,Email ID: VADODARA@KTKBANK.COM,44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
LIFE INSURANCE CORPORATION OF INDIA,6,"SARDAR BHAVAN LANE, RAOPURA,            ",44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
COROMANDEL INTERNATIONAL LTD.,6,VADODARA,44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
PNB HOUSING FINANCE LTD,6,City: VADODARA,44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,6,State: GUJARAT,44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
JET AIRWAYS INDIA LIMITED,6,Country: INDIA,44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
AIRPORT AUTHORITY OF INDIA,6,"Tel #: 2652415032,8687709934",44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
MAGMA FINCORP LIMITED,6,Zip: 390001,44,319,VADODARA,110,390001,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
KEC INTERNATIONAL LTD,6,Email ID: BSINGH@PNB.COM,44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
THE SUPREME INDUSTRIES LTD,6,"ZONAL OFFICE, 6TH FLOOR,                ",44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
THE INSTITUTE OF COMPANY SECRETARIES OF INDIA,6,"PARADISE COMPLEX, SAYAJIGUNJ",44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
SBI LIFE INSURANCE COMPANY LIMITED,6,"BEHIND HAVMOR HOTEL, NR. KALAG",44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
DB CORP LIMITED,6,HODA,44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
WALLACE PHARMACEUTICALS PVT LTD,6,City: VADODARA,44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
SIGNET INDUSTRIES LTD,6,State: GUJARAT,44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,6,Country: INDIA,44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
HDFC ASSET MANAGEMENT CO.LTD.,6,"Tel #: ,8511192368",44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
BAJAJ ALLIANZ LIFE INSURANCE COMPANY LTD,6,Zip: 390005,44,319,VADODARA,110,390005,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
BERGER PAINTS INDIA LTD.,6,Email ID: RAJNISH.JHA@SBI.CO.IN,44,319,VADODARA,110,390006,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
FINOLEX INDUSTRIES  LIMITED,6,"5th FLOOR, BANK OF BARODA,              ",44,319,VADODARA,110,390006,VADODARA-Executive,baroda@gmail.com,,,1111111111,1
