ACC Limited,6,"Paryawas Bhawan, Jail Rd, Arera Hills, Bhopal, Madhya Pradesh ",26,326,Bhopal,110,462027,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Hyundai Motor India,6,"Mapple High Street (2nd Floor), Opp. Aashima Mall Hoshangabad Road, Bhopal ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Bajaj Auto limited,6,"Windsor Madhya , Plot. No. 1,2,3,6 & 7, Third Floor, Village Damkheda Kolar Road Bhopal",25,326,Bhopal,110,462042,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Hero Motocorp Limited,6,"1st Floor, Office. No. 55, 55A, 56, 57, 58, 59, Maple High Street, Hoshangabad Road ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Hero Fincorp Limited,6,"3rd Floor, Plot No.11, Alankar palace Zone-II, M.P.Nagar Bhopal ",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Mahindra & Mahindra Limited,6,"Star Plaza, 3rd floor, Bittan Market, Opp. Habibganj Police Station E-5/6, Arera Colony, BHOPAL  ",25,326,Bhopal,110,462 016,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Wipro Ge Healthcare/ Medical ,6,"Hoshangabad Rd, DB City Mall, Zone-I, Maharana Pratap Nagar, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Wipro Ge info-tech,6,"E-5/6, Bittan Market Opp. Habibganj Police Station Bhopal",25,326,Bhopal,110,462016,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Tractor and Farm Equipment- TAFE,6,"Happy Chambers, 179, Zone-I, Maharana Pratap Nagar Bhopal  ",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
JCB India Limited,6,"312, 3rd Floor Chinar Incube City Hoshangabad Road - Bhopal ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Escorts Limited,6,"Commercial Complex., Chinar Fortune City, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Reserva Bank of India,6,"Maida Mill Road, Arera Hills Bhopal ",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
RBI Holiday Home,6,"K-2, Hoshangabad Rd, Opposite Hypercity, Arera Hills, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Travel Tracks,6,"Mansarover Complex, GB- 29, Block C, Near, Habibganj Rd, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462016,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Rai Travels Pvt. Ltd.,6,"3, Surya Colony, behind ramnagar colony Mandir behind old civil court, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462001,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Radiant Travels Pvt. Ltd.,6,"243-B, krishna Palace Zone-l, Maharana Pratap Nagar, Bhopal, Madhya Pradesh",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
GAIL India Limited,6,"Shop no. 8,Maple Street in front of Ashima Mall, Hoshangabad Rd, Bhopal, Madhya Pradesh",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Tata Motos Limited,6,"79, hodhsngabad road, Shri Ram Colony, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462003,Aslam Khan,bhopal@gmail.com,,,1111111111,1
ITC Limited - ABD ,6,"C21 Mall 217 B, 217 B, Hoshangabad Rd, Misrod, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462042,Aslam Khan,bhopal@gmail.com,,,1111111111,1
ITC Limited - ITD ,6,"C21 Mall 217 B, 217 B, Hoshangabad Rd, Misrod, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462042,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Yamaha Motor India,6,"Yamaha Motor India Sales Pvt. Ltd 5th Floor, office No. 504 -505 Ashima Mall Hoshangabad Road Bhopal- (Madhya Pradesh)",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
IFB Global - Industries,6,"18-A, JK Rd, Sector G, JK Rd, Sector G, Bharat Nagar, Govindpura Industrial Area, Bhopal, Madhya Pradesh",25,326,Bhopal,110,462023,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Rajpal Toyota Bhopal,6,"Hoshangabad Rd, opposite Hotel Mark, Misrod, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462047,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Permali Wallace ,6,"opposite RBI, Arera Hills, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Sintex BAPL ,6,"181, 1st Floor, Above Corporation Bank, Zone-II, M P Nagar, Bhopal, Madhya Pradesh",25,326,Bhopal,110,462011,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Andritz Hydro Limited,6,"D-17 Opp Bhaskar Industries Raisen Mandideep MPAKVN, Industrial Area, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462046,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Lupin Limited,6,"Plot No 198-202, Ward Number 11, Hoshangabad Rd, Nr, Mandideep, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462046,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Lion Fabrics Limited,6,"43 signature park, Peepalner Village, Gandhi Nagar, Bhopal, Madhya Pradesh",25,326,Bhopal,110,462036,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Proctor & Gamble India,6,Mandideep Industrial Area AKVN Bhopal  ,25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Bhaskar Indistries Limited,6,"15,16, D Sector Mandideep Industrial Area Bhopal ",25,326,Bhopal,110,462046,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Crompton Greaves Limited - M7,6,AKVN Mandideep Industrial Area Bhopal ,25,326,Bhopal,110,462046,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Crompton Greaves Limited - Transformer,6,"Plot No. 29, 30, 31& 32, New Industrial Area No.1 AKVN, District Raisen Industrial Area, Mandideep, Madhya Pradesh 462046",25,326,Bhopal,110,462046,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Hershey India,6,"5 Mandideep District Raisen No 1, New Industrial Area, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462046,Aslam Khan,bhopal@gmail.com,,,1111111111,1
VE Commercial Vehicles Limited,6,"Part of Khasara No. 697, 699, 701,702 and 703, Khasra No 698, Village Bagroda Tehsil- Huzur, Bhopal ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
HEG Limited,6,AKVN Mandideep Industrial Area,25,326,Bhopal,110,462046,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Jindal Steel & Power,6,"Chinar Incube City Mall, Hoshangabad Raod ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Jana Small Finance Bank,6,"Office No.109,Block B, 1st Floor, ChinarIncube Business Centre, Chinar Fortune City Hoshangabad Road - Bhopal ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
TVS Motor company,6," Chinar fortune City Incube Business centre, Hoshangabad Road Bhopal ",25,326,Bhopal,110,462026,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Power Grid Corporation,6,"E-3, 201, E-3, Arera Colony, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462016,Aslam Khan,bhopal@gmail.com,,,1111111111,1
National Thermal Power Corporation,6,"197, Sector- 2, Shakti Nagar Habib Ganj Bhopal ",25,326,Bhopal,110,462024,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Bharat heavy Electricals Limited,6,"Piplani Road , Raisen Road Govindpura Bhopal- M.P",25,326,Bhopal,110,462024,Aslam Khan,bhopal@gmail.com,,,1111111111,1
South eastern Coal Field/ Coal India,6,"Coal Parisar, Kalpana Nagar, Anand Nagar Road - Bhopal",25,326,Bhopal,110,462022,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Bureau of Indian Standards ,6,"Bittan Market, Manakalaya, Manaksanstha, E-5, Arera Colony, Bhopal, Madhya Pradesh ",25,326,Bhopal,110,462016,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Dilip Buildcon Limited,6,"5, Kolar Road, Inside Govind Narayan Singh Gate, Janki Nagar, Bhopal",25,326,Bhopal,110,462016,Aslam Khan,bhopal@gmail.com,,,1111111111,1
Netlink Software,6,"South TT Nagar, Bhopal, Madhya Pradesh",25,326,Bhopal,110,462003,Aslam Khan,bhopal@gmail.com,,,1111111111,1
